23:16:35.144994 TIMED OUT
05:12:50.395167 2022041500 001.fra.h.root-servers.org
19:02:49.015626 2022041501 001.fra.h.root-servers.org
05:39:20.673681 2022041600 001.fra.h.root-servers.org
17:24:33.078238 2022041601 001.fra.h.root-servers.org
06:39:13.149115 2022041700 001.fra.h.root-servers.org
17:52:30.208100 2022041701 001.fra.h.root-servers.org
05:19:08.256529 2022041800 001.fra.h.root-servers.org
17:36:46.743199 2022041801 001.fra.h.root-servers.org
05:31:15.835562 2022041900 001.fra.h.root-servers.org
17:33:16.159319 2022041901 001.fra.h.root-servers.org
05:10:29.788494 2022042000 001.fra.h.root-servers.org
17:33:25.185962 2022042001 001.fra.h.root-servers.org
18:08:16.593656 2022042002 001.fra.h.root-servers.org
05:46:39.229508 2022042100 001.fra.h.root-servers.org
16:08:10.074628 2022042101 001.fra.h.root-servers.org
21:55:25.535454 2022042102 001.fra.h.root-servers.org
05:09:14.353603 2022042200 001.fra.h.root-servers.org
18:59:57.007518 2022042201 001.fra.h.root-servers.org
20:54:58.034550 2022042202 001.fra.h.root-servers.org
06:01:22.181520 2022042300 001.fra.h.root-servers.org
17:10:58.302921 2022042301 001.fra.h.root-servers.org
05:26:08.311720 2022042400 001.fra.h.root-servers.org
17:20:45.870982 2022042401 001.fra.h.root-servers.org
05:17:47.894285 2022042500 001.fra.h.root-servers.org
17:08:51.764798 2022042501 001.fra.h.root-servers.org
22:08:15.494460 2022042502 001.fra.h.root-servers.org
05:40:28.606784 2022042600 001.fra.h.root-servers.org
17:50:04.102693 2022042601 001.fra.h.root-servers.org
06:12:21.942498 2022042700 001.fra.h.root-servers.org
17:17:08.834504 2022042701 001.fra.h.root-servers.org
05:11:56.309223 2022042800 001.fra.h.root-servers.org
17:10:40.475496 2022042801 001.fra.h.root-servers.org
05:19:52.436685 2022042900 001.fra.h.root-servers.org
17:14:40.892933 2022042901 001.fra.h.root-servers.org
05:21:12.975692 2022043000 001.fra.h.root-servers.org
18:05:06.216425 2022043001 001.fra.h.root-servers.org
05:18:16.483723 2022050100 001.fra.h.root-servers.org
17:28:40.791540 2022050101 001.fra.h.root-servers.org
05:40:21.034473 2022050200 001.fra.h.root-servers.org
18:05:15.895529 2022050201 001.fra.h.root-servers.org
18:34:55.816858 2022050202 001.fra.h.root-servers.org
20:58:25.945658 2022050203 001.fra.h.root-servers.org
05:09:18.565633 2022050300 001.fra.h.root-servers.org
15:11:49.996988 2022050301 001.fra.h.root-servers.org
17:31:03.887503 2022050302 001.fra.h.root-servers.org
20:42:31.671637 2022050303 001.fra.h.root-servers.org
05:32:50.409027 2022050400 001.fra.h.root-servers.org
18:41:52.806669 2022050401 001.fra.h.root-servers.org
05:08:39.691074 2022050500 001.fra.h.root-servers.org
17:22:29.043646 2022050501 001.fra.h.root-servers.org
20:58:54.482829 2022050502 001.fra.h.root-servers.org
05:10:50.103203 2022050600 001.fra.h.root-servers.org
17:11:12.426050 2022050601 001.fra.h.root-servers.org
20:58:52.188637 2022050602 001.fra.h.root-servers.org
05:10:22.510344 2022050700 001.fra.h.root-servers.org
18:03:46.228531 2022050701 001.fra.h.root-servers.org
05:13:45.409333 2022050800 001.fra.h.root-servers.org
20:10:46.517990 2022050801 001.fra.h.root-servers.org
05:33:29.622351 2022050900 001.fra.h.root-servers.org
18:41:01.923410 2022050901 001.fra.h.root-servers.org
21:17:11.253566 2022050902 001.fra.h.root-servers.org
05:16:26.751523 2022051000 001.fra.h.root-servers.org
17:25:51.747351 2022051001 001.fra.h.root-servers.org
21:07:44.257443 2022051002 001.fra.h.root-servers.org
05:11:47.042471 2022051100 001.fra.h.root-servers.org
17:46:48.448823 2022051101 001.fra.h.root-servers.org
05:09:05.123372 2022051200 001.fra.h.root-servers.org
15:53:53.746942 2022051201 001.fra.h.root-servers.org
22:31:49.021632 2022051202 001.fra.h.root-servers.org
05:17:16.272561 2022051300 001.fra.h.root-servers.org
20:02:11.924092 2022051301 001.fra.h.root-servers.org
20:52:36.414111 2022051302 001.fra.h.root-servers.org
05:14:25.098134 2022051400 001.fra.h.root-servers.org
18:06:38.870038 2022051401 001.fra.h.root-servers.org
05:06:41.782638 2022051500 001.fra.h.root-servers.org
18:16:11.307816 2022051501 001.fra.h.root-servers.org
05:56:20.969691 2022051600 001.fra.h.root-servers.org
18:19:16.458499 2022051601 001.fra.h.root-servers.org
06:15:25.375780 2022051700 001.fra.h.root-servers.org
19:02:00.332525 2022051701 001.fra.h.root-servers.org
21:37:41.725346 2022051702 001.fra.h.root-servers.org
05:20:24.850107 2022051800 001.fra.h.root-servers.org
18:20:53.885862 2022051801 001.fra.h.root-servers.org
05:27:37.132957 2022051900 001.fra.h.root-servers.org
17:20:58.866974 2022051901 001.fra.h.root-servers.org
21:08:20.914011 2022051902 001.fra.h.root-servers.org
05:17:06.555482 2022052000 001.fra.h.root-servers.org
18:06:42.182803 2022052001 001.fra.h.root-servers.org
21:16:36.345157 2022052002 001.fra.h.root-servers.org
05:38:42.909598 2022052100 001.fra.h.root-servers.org
18:08:55.504320 2022052101 001.fra.h.root-servers.org
05:22:37.121247 2022052200 001.fra.h.root-servers.org
18:02:36.468605 2022052201 001.fra.h.root-servers.org
05:34:03.999076 2022052300 001.fra.h.root-servers.org
17:43:31.175847 2022052301 001.fra.h.root-servers.org
05:32:21.139151 2022052400 001.fra.h.root-servers.org
17:22:38.603245 2022052401 001.fra.h.root-servers.org
05:22:54.589131 2022052500 001.fra.h.root-servers.org
18:06:08.145165 2022052501 001.fra.h.root-servers.org
21:13:09.785524 2022052502 001.fra.h.root-servers.org
05:15:29.266467 2022052600 001.fra.h.root-servers.org
17:11:13.024908 2022052601 001.fra.h.root-servers.org
21:09:56.310047 2022052602 001.fra.h.root-servers.org
05:11:35.968108 2022052700 001.fra.h.root-servers.org
20:24:00.543874 2022052701 001.fra.h.root-servers.org
21:17:49.929224 2022052702 001.fra.h.root-servers.org
05:10:33.189721 2022052800 001.fra.h.root-servers.org
21:12:30.177844 2022052801 001.fra.h.root-servers.org
05:12:17.719185 2022052900 001.fra.h.root-servers.org
