10:54:49.869905 TIMED OUT
05:12:50.615966 2022041500 ns1.cz-prg.k.ripe.net
19:02:49.274967 2022041501 ns1.cz-prg.k.ripe.net
05:39:32.679054 2022041600 ns1.cz-prg.k.ripe.net
17:24:44.547779 2022041601 ns1.cz-prg.k.ripe.net
06:39:13.550058 2022041700 ns1.cz-prg.k.ripe.net
17:52:41.801416 2022041701 ns1.cz-prg.k.ripe.net
05:19:08.707764 2022041800 ns1.cz-prg.k.ripe.net
17:36:47.125842 2022041801 ns1.cz-prg.k.ripe.net
05:31:16.272375 2022041900 ns1.cz-prg.k.ripe.net
17:33:16.545023 2022041901 ns1.cz-prg.k.ripe.net
05:10:30.138510 2022042000 ns1.cz-prg.k.ripe.net
17:33:14.259727 2022042001 ns1.cz-prg.k.ripe.net
18:08:27.889017 2022042002 ns1.cz-prg.k.ripe.net
05:46:39.753783 2022042100 ns1.cz-prg.k.ripe.net
16:08:10.470045 2022042101 ns1.cz-prg.k.ripe.net
21:55:25.856792 2022042102 ns1.cz-prg.k.ripe.net
05:09:25.846279 2022042200 ns1.cz-prg.k.ripe.net
19:00:08.824324 2022042201 ns1.cz-prg.k.ripe.net
20:54:58.544241 2022042202 ns1.cz-prg.k.ripe.net
06:01:22.609577 2022042300 ns1.cz-prg.k.ripe.net
17:10:58.846540 2022042301 ns1.cz-prg.k.ripe.net
05:26:08.671467 2022042400 ns1.cz-prg.k.ripe.net
17:20:46.244910 2022042401 ns1.cz-prg.k.ripe.net
05:17:48.433106 2022042500 ns1.cz-prg.k.ripe.net
17:08:52.379959 2022042501 ns1.cz-prg.k.ripe.net
22:08:16.047523 2022042502 ns1.cz-prg.k.ripe.net
05:40:28.955462 2022042600 ns1.cz-prg.k.ripe.net
17:50:04.631428 2022042601 ns1.cz-prg.k.ripe.net
06:12:22.364279 2022042700 ns1.cz-prg.k.ripe.net
17:17:09.370892 2022042701 ns1.cz-prg.k.ripe.net
05:11:56.699471 2022042800 ns1.cz-prg.k.ripe.net
17:10:52.150247 2022042801 ns1.cz-prg.k.ripe.net
05:19:52.872167 2022042900 ns1.cz-prg.k.ripe.net
17:14:41.274858 2022042901 ns1.cz-prg.k.ripe.net
05:21:13.396822 2022043000 ns1.cz-prg.k.ripe.net
18:05:06.473460 2022043001 ns1.cz-prg.k.ripe.net
05:18:16.855610 2022050100 ns1.cz-prg.k.ripe.net
17:28:41.208404 2022050101 ns1.cz-prg.k.ripe.net
05:40:32.561294 2022050200 ns1.cz-prg.k.ripe.net
18:05:16.285260 2022050201 ns1.cz-prg.k.ripe.net
18:34:56.243069 2022050202 ns1.cz-prg.k.ripe.net
20:58:26.306113 2022050203 ns1.cz-prg.k.ripe.net
05:09:18.853896 2022050300 ns1.cz-prg.k.ripe.net
15:11:50.403372 2022050301 ns1.cz-prg.k.ripe.net
17:31:04.432134 2022050302 ns1.cz-prg.k.ripe.net
20:42:43.094220 2022050303 ns1.cz-prg.k.ripe.net
05:32:50.940432 2022050400 ns1.cz-prg.k.ripe.net
18:41:53.208369 2022050401 ns1.cz-prg.k.ripe.net
05:08:40.063076 2022050500 ns1.cz-prg.k.ripe.net
17:22:29.348103 2022050501 ns1.cz-prg.k.ripe.net
20:58:54.985442 2022050502 ns1.cz-prg.k.ripe.net
05:11:02.108048 2022050600 ns1.cz-prg.k.ripe.net
17:11:12.702258 2022050601 ns1.cz-prg.k.ripe.net
20:58:52.579973 2022050602 ns1.cz-prg.k.ripe.net
05:10:34.034048 2022050700 ns1.cz-prg.k.ripe.net
18:03:35.313856 2022050701 ns1.cz-prg.k.ripe.net
05:13:57.001977 2022050800 ns1.cz-prg.k.ripe.net
20:10:58.049368 2022050801 ns1.cz-prg.k.ripe.net
05:33:30.105435 2022050900 ns1.cz-prg.k.ripe.net
18:41:02.413346 2022050901 ns1.cz-prg.k.ripe.net
21:17:22.629321 2022050902 ns1.cz-prg.k.ripe.net
05:16:27.224599 2022051000 ns1.cz-prg.k.ripe.net
17:26:03.173853 2022051001 ns1.cz-prg.k.ripe.net
21:07:56.163393 2022051002 ns1.cz-prg.k.ripe.net
05:11:47.381864 2022051100 ns1.cz-prg.k.ripe.net
17:46:59.832710 2022051101 ns1.cz-prg.k.ripe.net
05:09:16.652281 2022051200 ns1.cz-prg.k.ripe.net
15:53:54.179468 2022051201 ns1.cz-prg.k.ripe.net
22:31:49.384655 2022051202 ns1.cz-prg.k.ripe.net
05:17:27.659826 2022051300 ns1.cz-prg.k.ripe.net
20:02:12.245809 2022051301 ns1.cz-prg.k.ripe.net
20:52:36.920528 2022051302 ns1.cz-prg.k.ripe.net
05:14:36.584402 2022051400 ns1.cz-prg.k.ripe.net
18:06:39.254470 2022051401 ns1.cz-prg.k.ripe.net
05:06:53.148997 2022051500 ns1.cz-prg.k.ripe.net
18:16:23.423236 2022051501 ns1.cz-prg.k.ripe.net
05:56:21.441697 2022051600 ns1.cz-prg.k.ripe.net
18:19:16.889851 2022051601 ns1.cz-prg.k.ripe.net
