01:08:42.480730 TIMED OUT
05:12:50.512412 2022041500 b4-ams
19:02:49.173330 2022041501 b4-ams
05:39:31.792211 2022041600 b3-ams
17:24:33.315703 2022041601 b1-ams
06:39:24.353647 2022041700 b3-ams
17:52:30.139638 2022041701 b1-ams
05:19:08.395344 2022041800 b3-ams
17:36:46.830564 2022041801 b1-ams
05:31:15.843801 2022041900 b4-ams
17:33:16.158424 2022041901 b1-ams
05:10:29.755823 2022042000 b1-ams
17:33:25.282149 2022042001 b1-ams
18:08:27.536169 2022042002 b1-ams
05:46:39.344984 2022042100 b3-ams
16:08:10.156889 2022042101 b3-ams
21:55:36.538979 2022042102 b4-ams
05:09:25.519567 2022042200 b1-ams
19:00:08.454326 2022042201 b1-ams
20:54:58.140149 2022042202 b1-ams
06:01:33.567047 2022042300 b3-ams
17:10:58.291900 2022042301 b3-ams
05:26:08.400935 2022042400 b3-ams
17:20:57.010266 2022042401 b3-ams
05:17:47.859104 2022042500 b1-ams
17:08:52.029835 2022042501 b1-ams
22:08:15.617154 2022042502 b1-ams
05:40:28.857045 2022042600 b3-ams
17:50:04.216732 2022042601 b1-ams
06:12:22.117206 2022042700 b3-ams
17:17:09.000449 2022042701 b3-ams
05:11:56.542963 2022042800 b3-ams
17:10:40.772057 2022042801 b1-ams
05:19:52.569783 2022042900 b3-ams
17:14:52.461327 2022042901 b4-ams
05:21:13.240567 2022043000 b3-ams
18:05:06.158908 2022043001 b1-ams
05:18:27.810048 2022050100 b4-ams
17:28:29.704135 2022050101 b3-ams
05:40:32.387498 2022050200 b4-ams
18:05:27.267283 2022050201 b3-ams
18:34:55.905563 2022050202 b1-ams
20:58:37.250561 2022050203 b3-ams
05:09:18.577876 2022050300 b4-ams
15:11:50.122158 2022050301 b3-ams
17:31:04.014615 2022050302 b1-ams
20:42:42.786148 2022050303 b1-ams
05:33:01.729815 2022050400 b4-ams
18:41:52.912890 2022050401 b1-ams
05:08:39.593943 2022050500 b3-ams
17:22:29.060404 2022050501 b1-ams
20:58:54.624776 2022050502 b1-ams
05:10:50.396689 2022050600 b3-ams
17:11:12.381731 2022050601 b4-ams
20:58:52.177071 2022050602 b1-ams
05:10:33.789308 2022050700 b3-ams
18:03:34.923939 2022050701 b1-ams
05:13:56.663266 2022050800 b3-ams
20:10:57.775470 2022050801 b1-ams
05:33:40.991702 2022050900 b4-ams
18:41:02.045358 2022050901 b1-ams
21:17:11.478638 2022050902 b1-ams
05:16:37.889565 2022051000 b1-ams
17:26:02.944561 2022051001 b4-ams
21:07:55.681751 2022051002 b4-ams
05:11:47.081618 2022051100 b4-ams
17:46:59.510335 2022051101 b1-ams
05:09:16.276038 2022051200 b4-ams
15:53:53.837454 2022051201 b3-ams
22:31:49.015293 2022051202 b1-ams
05:17:27.370507 2022051300 b3-ams
20:02:11.940762 2022051301 b4-ams
20:52:36.606740 2022051302 b4-ams
05:14:36.272023 2022051400 b1-ams
18:06:38.896894 2022051401 b1-ams
05:06:41.947839 2022051500 b1-ams
18:16:23.058836 2022051501 b1-ams
05:56:21.154467 2022051600 b4-ams
18:19:16.600498 2022051601 b1-ams
06:15:25.492300 2022051700 b3-ams
19:02:00.405443 2022051701 b3-ams
21:37:41.812042 2022051702 b4-ams
05:20:24.968423 2022051800 b4-ams
18:20:54.014367 2022051801 b1-ams
05:27:37.150348 2022051900 b1-ams
17:20:58.873980 2022051901 b3-ams
21:08:21.060001 2022051902 b3-ams
05:17:06.631827 2022052000 b3-ams
18:06:54.160890 2022052001 b4-ams
21:16:36.713361 2022052002 b3-ams
05:38:43.117025 2022052100 b4-ams
18:08:55.471067 2022052101 b1-ams
05:22:37.216027 2022052200 b1-ams
18:02:36.483584 2022052201 b1-ams
05:34:04.137031 2022052300 b4-ams
17:43:31.270120 2022052301 b1-ams
05:32:32.186978 2022052400 b3-ams
17:22:38.603653 2022052401 b4-ams
05:22:54.672776 2022052500 b3-ams
18:06:08.186518 2022052501 b4-ams
21:13:21.101231 2022052502 b1-ams
05:15:29.532813 2022052600 b1-ams
17:11:24.427260 2022052601 b3-ams
21:09:56.457328 2022052602 b4-ams
05:11:36.248606 2022052700 b1-ams
20:24:00.632809 2022052701 b1-ams
21:17:49.935414 2022052702 b3-ams
05:10:44.275337 2022052800 b4-ams
21:12:30.477905 2022052801 b3-ams
05:12:18.020676 2022052900 b3-ams
18:15:40.124667 2022052901 b3-ams
05:11:10.639339 2022053000 b3-ams
17:42:41.677048 2022053001 b1-ams
06:12:28.067088 2022053100 b4-ams
