03:01:02.499911 TIMED OUT
05:24:23.489974 2022041500 n03.nuq.eroot
19:09:37.978403 2022041501 n04.nuq.eroot
05:45:07.471624 2022041600 n02.nuq.eroot
17:28:55.702871 2022041601 n01.nuq.eroot
06:39:34.072627 2022041700 n02.nuq.eroot
18:03:03.511833 2022041701 n03.nuq.eroot
05:30:15.453508 2022041800 n02.nuq.eroot
17:37:07.780693 2022041801 n01.nuq.eroot
05:43:32.372621 2022041900 n04.nuq.eroot
17:39:02.735732 2022041901 n03.nuq.eroot
05:12:20.414622 2022042000 n03.nuq.eroot
17:42:09.424270 2022042001 n01.nuq.eroot
18:08:51.277157 2022042002 n02.nuq.eroot
05:54:03.133248 2022042100 n02.nuq.eroot
16:11:43.627146 2022042101 n03.nuq.eroot
22:02:51.071111 2022042102 n02.nuq.eroot
05:10:39.100187 2022042200 n03.nuq.eroot
19:00:38.073020 2022042201 n03.nuq.eroot
20:55:37.724141 2022042202 n04.nuq.eroot
06:08:19.426990 2022042300 n04.nuq.eroot
17:10:57.725854 2022042301 n03.nuq.eroot
05:32:23.401167 2022042400 n02.nuq.eroot
17:25:53.528230 2022042401 n03.nuq.eroot
05:21:31.764722 2022042500 n01.nuq.eroot
17:19:33.552938 2022042501 n02.nuq.eroot
22:24:16.749856 2022042502 n02.nuq.eroot
05:42:29.607740 2022042600 n04.nuq.eroot
17:57:57.715207 2022042601 n04.nuq.eroot
06:20:11.462197 2022042700 n02.nuq.eroot
17:22:13.879215 2022042701 n04.nuq.eroot
05:13:13.802927 2022042800 n04.nuq.eroot
17:11:29.186210 2022042801 n02.nuq.eroot
05:21:04.804321 2022042900 n03.nuq.eroot
17:15:10.675923 2022042901 n04.nuq.eroot
05:22:55.607797 2022043000 n02.nuq.eroot
18:19:04.877952 2022043001 n02.nuq.eroot
05:25:05.485274 2022050100 n04.nuq.eroot
17:34:52.815394 2022050101 n02.nuq.eroot
05:46:25.181104 2022050200 n04.nuq.eroot
18:06:09.759891 2022050201 n03.nuq.eroot
18:59:00.794130 2022050202 n01.nuq.eroot
21:07:00.635234 2022050203 n04.nuq.eroot
05:12:57.665876 2022050300 n01.nuq.eroot
15:13:29.593783 2022050301 n04.nuq.eroot
17:31:15.554413 2022050302 n02.nuq.eroot
20:54:23.649773 2022050303 n04.nuq.eroot
05:43:00.851768 2022050400 n02.nuq.eroot
18:45:38.490545 2022050401 n03.nuq.eroot
05:12:29.832531 2022050500 n01.nuq.eroot
17:35:47.086178 2022050501 n01.nuq.eroot
21:02:47.348263 2022050502 n02.nuq.eroot
05:23:55.641138 2022050600 n02.nuq.eroot
17:12:28.649890 2022050601 n04.nuq.eroot
21:01:13.251839 2022050602 n02.nuq.eroot
21:01:48.176479 2022050601 n01.nuq.eroot
21:01:59.346923 2022050602 n03.nuq.eroot
21:03:32.529278 2022050601 n01.nuq.eroot
