11:59:40.750438 TIMED OUT
05:24:18.086618 2022041500 n01.nuq.eroot
19:09:42.801097 2022041501 n03.nuq.eroot
05:45:06.359811 2022041600 n01.nuq.eroot
17:29:02.865860 2022041601 n04.nuq.eroot
06:39:47.430343 2022041700 n02.nuq.eroot
18:03:08.650104 2022041701 n03.nuq.eroot
05:30:17.673648 2022041800 n04.nuq.eroot
17:37:03.929097 2022041801 n03.nuq.eroot
05:43:42.720720 2022041900 n04.nuq.eroot
17:38:59.358684 2022041901 n01.nuq.eroot
05:12:21.345275 2022042000 n02.nuq.eroot
17:42:11.374532 2022042001 n01.nuq.eroot
18:08:51.733167 2022042002 n04.nuq.eroot
05:54:02.855362 2022042100 n04.nuq.eroot
16:11:47.165901 2022042101 n04.nuq.eroot
22:02:50.714259 2022042102 n04.nuq.eroot
05:10:41.564842 2022042200 n03.nuq.eroot
19:00:41.782522 2022042201 n04.nuq.eroot
20:55:35.689017 2022042202 n04.nuq.eroot
06:08:25.910833 2022042300 n03.nuq.eroot
17:11:06.608156 2022042301 n04.nuq.eroot
05:32:20.803447 2022042400 n02.nuq.eroot
17:25:53.741846 2022042401 n03.nuq.eroot
05:21:31.921402 2022042500 n03.nuq.eroot
17:19:33.399992 2022042501 n02.nuq.eroot
22:24:10.153718 2022042502 n04.nuq.eroot
05:42:40.250544 2022042600 n01.nuq.eroot
17:57:58.059137 2022042601 n01.nuq.eroot
06:20:31.918476 2022042700 c01.LAX.eroot
17:22:20.790426 2022042701 n04.nuq.eroot
05:13:10.750726 2022042800 n01.nuq.eroot
17:11:28.857430 2022042801 n04.nuq.eroot
05:21:06.760670 2022042900 n01.nuq.eroot
17:15:07.857359 2022042901 n04.nuq.eroot
05:22:54.146674 2022043000 n04.nuq.eroot
18:19:11.188036 2022043001 n02.nuq.eroot
05:25:12.993552 2022050100 n01.nuq.eroot
17:34:58.713701 2022050101 n02.nuq.eroot
05:46:23.547685 2022050200 n02.nuq.eroot
18:06:03.185925 2022050201 n01.nuq.eroot
18:59:00.006719 2022050202 n02.nuq.eroot
21:07:00.558361 2022050203 n04.nuq.eroot
05:12:57.158214 2022050300 n04.nuq.eroot
15:13:27.579061 2022050301 n02.nuq.eroot
17:31:12.477592 2022050302 n04.nuq.eroot
20:54:24.986257 2022050303 n02.nuq.eroot
05:43:06.082127 2022050400 n01.nuq.eroot
18:45:36.411567 2022050401 n03.nuq.eroot
05:12:25.038726 2022050500 n02.nuq.eroot
17:35:46.552105 2022050501 n03.nuq.eroot
21:02:49.228135 2022050502 n01.nuq.eroot
05:23:47.272281 2022050600 n01.nuq.eroot
17:12:33.455599 2022050601 n01.nuq.eroot
21:01:25.667944 2022050602 n03.nuq.eroot
