10:45:51.307764 TIMED OUT
05:12:57.601896 2022041500 ns1.ch-gva.k.ripe.net
19:02:49.874044 2022041501 ns1.ch-gva.k.ripe.net
05:39:26.932751 2022041600 ns1.ch-gva.k.ripe.net
17:24:39.446249 2022041601 ns1.ch-gva.k.ripe.net
06:39:09.642371 2022041700 ns1.ch-gva.k.ripe.net
17:52:39.905988 2022041701 ns1.ch-gva.k.ripe.net
05:19:11.942016 2022041800 ns1.ch-gva.k.ripe.net
17:36:51.259268 2022041801 ns1.ch-gva.k.ripe.net
05:31:19.357471 2022041900 ns1.ch-gva.k.ripe.net
17:33:19.555144 2022041901 ns1.ch-gva.k.ripe.net
05:10:28.724778 2022042000 ns1.ch-gva.k.ripe.net
17:33:21.971605 2022042001 ns1.ch-gva.k.ripe.net
18:08:26.602527 2022042002 ns1.ch-gva.k.ripe.net
05:46:43.655736 2022042100 ns1.ch-gva.k.ripe.net
16:08:13.453897 2022042101 ns1.ch-gva.k.ripe.net
21:55:28.834416 2022042102 ns1.ch-gva.k.ripe.net
05:09:25.940068 2022042200 ns1.ch-gva.k.ripe.net
19:00:03.692735 2022042201 ns1.ch-gva.k.ripe.net
20:54:58.066617 2022042202 ns1.ch-gva.k.ripe.net
06:01:31.968172 2022042300 ns1.ch-gva.k.ripe.net
17:10:54.016829 2022042301 ns1.ch-gva.k.ripe.net
05:26:15.858959 2022042400 ns1.ch-gva.k.ripe.net
17:20:52.714699 2022042401 ns1.ch-gva.k.ripe.net
05:17:46.786631 2022042500 ns1.ch-gva.k.ripe.net
17:08:50.630254 2022042501 ns1.ch-gva.k.ripe.net
22:08:14.833151 2022042502 ns1.ch-gva.k.ripe.net
05:40:36.163517 2022042600 ns1.ch-gva.k.ripe.net
17:50:00.044534 2022042601 ns1.ch-gva.k.ripe.net
06:12:21.789144 2022042700 ns1.ch-gva.k.ripe.net
17:17:05.913026 2022042701 ns1.ch-gva.k.ripe.net
05:11:56.239856 2022042800 ns1.ch-gva.k.ripe.net
17:10:50.393682 2022042801 ns1.ch-gva.k.ripe.net
05:19:51.545701 2022042900 ns1.ch-gva.k.ripe.net
17:14:43.154008 2022042901 ns1.ch-gva.k.ripe.net
05:21:13.647393 2022043000 ns1.ch-gva.k.ripe.net
18:05:10.445020 2022043001 ns1.ch-gva.k.ripe.net
05:18:18.487776 2022050100 ns1.ch-gva.k.ripe.net
17:28:30.771302 2022050101 ns1.ch-gva.k.ripe.net
05:40:31.720323 2022050200 ns1.ch-gva.k.ripe.net
18:05:13.713700 2022050201 ns1.ch-gva.k.ripe.net
18:34:54.973824 2022050202 ns1.ch-gva.k.ripe.net
20:58:25.653769 2022050203 ns1.ch-gva.k.ripe.net
05:09:24.141019 2022050300 ns1.ch-gva.k.ripe.net
15:11:47.094084 2022050301 ns1.ch-gva.k.ripe.net
17:31:00.476764 2022050302 ns1.ch-gva.k.ripe.net
20:42:41.187437 2022050303 ns1.ch-gva.k.ripe.net
05:32:48.844496 2022050400 ns1.ch-gva.k.ripe.net
18:41:50.225649 2022050401 ns1.ch-gva.k.ripe.net
05:08:39.181009 2022050500 ns1.ch-gva.k.ripe.net
17:22:34.202638 2022050501 ns1.ch-gva.k.ripe.net
20:59:02.502418 2022050502 ns1.ch-gva.k.ripe.net
05:11:01.288313 2022050600 ns1.ch-gva.k.ripe.net
17:11:17.985242 2022050601 ns1.ch-gva.k.ripe.net
20:58:55.493336 2022050602 ns1.ch-gva.k.ripe.net
05:10:30.713399 2022050700 ns1.ch-gva.k.ripe.net
18:03:40.142639 2022050701 ns1.ch-gva.k.ripe.net
05:13:50.221521 2022050800 ns1.ch-gva.k.ripe.net
20:10:55.914179 2022050801 ns1.ch-gva.k.ripe.net
05:33:22.438069 2022050900 ns1.ch-gva.k.ripe.net
18:41:08.910750 2022050901 ns1.ch-gva.k.ripe.net
21:17:16.915556 2022050902 ns1.ch-gva.k.ripe.net
05:16:38.014553 2022051000 ns1.ch-gva.k.ripe.net
17:25:58.051444 2022051001 ns1.ch-gva.k.ripe.net
21:07:52.112148 2022051002 ns1.ch-gva.k.ripe.net
05:11:48.315885 2022051100 ns1.ch-gva.k.ripe.net
17:46:59.970815 2022051101 ns1.ch-gva.k.ripe.net
05:09:15.266231 2022051200 ns1.ch-gva.k.ripe.net
15:54:00.188385 2022051201 ns1.ch-gva.k.ripe.net
22:31:53.206730 2022051202 ns1.ch-gva.k.ripe.net
05:17:18.905743 2022051300 ns1.ch-gva.k.ripe.net
