17:19:11.110755 TIMED OUT
05:12:44.703511 2022041500 001.mia.h.root-servers.org
19:02:49.958700 2022041501 001.mia.h.root-servers.org
05:39:27.138537 2022041600 001.mia.h.root-servers.org
17:24:32.991667 2022041601 001.mia.h.root-servers.org
06:39:08.915399 2022041700 001.mia.h.root-servers.org
17:52:36.114891 2022041701 001.mia.h.root-servers.org
05:19:00.660661 2022041800 001.mia.h.root-servers.org
17:36:49.701169 2022041801 001.mia.h.root-servers.org
05:31:16.662745 2022041900 001.mia.h.root-servers.org
17:33:26.291378 2022041901 001.mia.h.root-servers.org
05:10:26.216479 2022042000 001.mia.h.root-servers.org
17:33:22.380809 2022042001 001.mia.h.root-servers.org
18:08:21.060789 2022042002 001.mia.h.root-servers.org
05:46:40.877892 2022042100 001.mia.h.root-servers.org
16:08:07.240576 2022042101 001.mia.h.root-servers.org
21:55:23.420301 2022042102 001.mia.h.root-servers.org
05:09:15.641389 2022042200 001.mia.h.root-servers.org
18:59:59.446822 2022042201 001.mia.h.root-servers.org
20:55:02.147794 2022042202 001.mia.h.root-servers.org
06:01:30.423096 2022042300 001.mia.h.root-servers.org
17:10:51.134274 2022042301 001.mia.h.root-servers.org
05:26:14.614712 2022042400 001.mia.h.root-servers.org
17:20:43.297063 2022042401 001.mia.h.root-servers.org
05:17:44.943471 2022042500 001.mia.h.root-servers.org
17:08:44.211138 2022042501 001.mia.h.root-servers.org
22:08:11.553349 2022042502 001.mia.h.root-servers.org
05:40:25.744762 2022042600 001.mia.h.root-servers.org
17:50:00.891805 2022042601 001.mia.h.root-servers.org
06:12:28.086967 2022042700 001.mia.h.root-servers.org
17:17:06.646052 2022042701 001.mia.h.root-servers.org
05:11:54.576184 2022042800 001.mia.h.root-servers.org
17:10:43.070767 2022042801 001.mia.h.root-servers.org
05:19:52.475742 2022042900 001.mia.h.root-servers.org
17:14:40.452321 2022042901 001.mia.h.root-servers.org
05:21:11.146541 2022043000 001.mia.h.root-servers.org
18:05:08.017464 2022043001 001.mia.h.root-servers.org
05:18:22.695751 2022050100 001.mia.h.root-servers.org
17:28:42.164271 2022050101 001.mia.h.root-servers.org
05:40:27.404651 2022050200 001.mia.h.root-servers.org
18:05:16.086042 2022050201 001.mia.h.root-servers.org
18:34:47.302947 2022050202 001.mia.h.root-servers.org
20:58:26.183115 2022050203 001.mia.h.root-servers.org
05:09:21.503919 2022050300 001.mia.h.root-servers.org
15:11:55.537723 2022050301 001.mia.h.root-servers.org
17:31:02.334631 2022050302 001.mia.h.root-servers.org
20:42:38.613035 2022050303 001.mia.h.root-servers.org
05:32:49.743371 2022050400 001.mia.h.root-servers.org
18:41:57.700631 2022050401 001.mia.h.root-servers.org
05:08:31.546901 2022050500 001.mia.h.root-servers.org
17:22:39.318638 2022050501 001.mia.h.root-servers.org
20:59:00.542660 2022050502 001.mia.h.root-servers.org
05:10:56.312683 2022050600 001.mia.h.root-servers.org
17:11:08.556436 2022050601 001.mia.h.root-servers.org
20:58:51.946747 2022050602 001.mia.h.root-servers.org
05:10:23.851646 2022050700 001.mia.h.root-servers.org
18:03:42.187000 2022050701 001.mia.h.root-servers.org
05:13:49.046200 2022050800 001.mia.h.root-servers.org
20:10:50.727257 2022050801 001.mia.h.root-servers.org
05:33:21.137511 2022050900 001.mia.h.root-servers.org
18:40:55.956513 2022050901 001.mia.h.root-servers.org
21:17:21.274053 2022050902 001.mia.h.root-servers.org
05:16:30.113247 2022051000 001.mia.h.root-servers.org
17:25:52.844293 2022051001 001.mia.h.root-servers.org
21:07:47.212865 2022051002 001.mia.h.root-servers.org
05:11:44.239715 2022051100 001.mia.h.root-servers.org
17:46:52.989178 2022051101 001.mia.h.root-servers.org
05:09:08.713524 2022051200 001.mia.h.root-servers.org
15:54:00.983615 2022051201 001.mia.h.root-servers.org
22:31:49.965072 2022051202 001.mia.h.root-servers.org
05:17:21.238002 2022051300 001.mia.h.root-servers.org
20:02:07.349408 2022051301 001.mia.h.root-servers.org
20:52:36.832071 2022051302 001.mia.h.root-servers.org
05:14:34.648198 2022051400 001.mia.h.root-servers.org
18:06:47.020381 2022051401 001.mia.h.root-servers.org
05:06:45.653485 2022051500 001.mia.h.root-servers.org
18:16:17.120926 2022051501 001.mia.h.root-servers.org
05:56:21.598346 2022051600 001.mia.h.root-servers.org
18:19:14.218251 2022051601 001.mia.h.root-servers.org
06:15:31.720482 2022051700 001.mia.h.root-servers.org
19:01:53.156197 2022051701 001.mia.h.root-servers.org
21:37:43.253271 2022051702 001.mia.h.root-servers.org
05:20:19.771657 2022051800 001.mia.h.root-servers.org
18:20:48.641511 2022051801 001.mia.h.root-servers.org
05:27:40.783282 2022051900 001.mia.h.root-servers.org
17:20:54.891597 2022051901 001.mia.h.root-servers.org
21:08:15.843883 2022051902 001.mia.h.root-servers.org
05:16:57.698216 2022052000 001.mia.h.root-servers.org
18:06:44.390485 2022052001 001.mia.h.root-servers.org
21:16:37.999073 2022052002 001.mia.h.root-servers.org
05:38:46.218285 2022052100 001.mia.h.root-servers.org
18:09:04.583406 2022052101 001.mia.h.root-servers.org
05:22:37.991755 2022052200 001.mia.h.root-servers.org
18:02:36.490923 2022052201 001.mia.h.root-servers.org
05:34:11.964348 2022052300 001.mia.h.root-servers.org
17:43:30.995292 2022052301 001.mia.h.root-servers.org
05:32:18.729144 2022052400 001.mia.h.root-servers.org
17:22:35.686228 2022052401 001.mia.h.root-servers.org
05:22:50.936450 2022052500 001.mia.h.root-servers.org
18:06:10.000043 2022052501 001.mia.h.root-servers.org
21:13:06.807783 2022052502 001.mia.h.root-servers.org
05:15:22.177104 2022052600 001.mia.h.root-servers.org
17:11:06.902612 2022052601 001.mia.h.root-servers.org
21:09:54.567359 2022052602 001.mia.h.root-servers.org
05:11:30.589581 2022052700 001.mia.h.root-servers.org
20:23:55.374306 2022052701 001.mia.h.root-servers.org
21:17:46.002849 2022052702 001.mia.h.root-servers.org
05:10:42.150013 2022052800 001.mia.h.root-servers.org
21:12:29.019394 2022052801 001.mia.h.root-servers.org
05:12:13.468134 2022052900 001.mia.h.root-servers.org
18:15:34.079922 2022052901 001.mia.h.root-servers.org
05:11:05.535733 2022053000 001.mia.h.root-servers.org
17:42:42.925016 2022053001 001.mia.h.root-servers.org
06:12:36.333204 2022053100 001.mia.h.root-servers.org
17:18:55.480760 2022053101 001.mia.h.root-servers.org
05:18:05.340008 2022060100 001.mia.h.root-servers.org
14:25:36.496704 2022060101 001.mia.h.root-servers.org
17:13:18.395520 2022060102 001.mia.h.root-servers.org
21:58:07.409170 2022060103 001.mia.h.root-servers.org
05:11:56.118720 2022060200 001.mia.h.root-servers.org
17:22:02.169690 2022060201 001.mia.h.root-servers.org
00:33:39.195851 2022060300 001.mia.h.root-servers.org
05:13:27.042826 2022060301 001.mia.h.root-servers.org
17:32:05.052358 2022060302 001.mia.h.root-servers.org
19:50:35.754694 2022060303 001.mia.h.root-servers.org
05:20:52.507314 2022060400 001.mia.h.root-servers.org
17:23:40.768786 2022060401 001.mia.h.root-servers.org
17:30:10.684466 2022060402 001.mia.h.root-servers.org
05:14:05.847965 2022060500 001.mia.h.root-servers.org
17:20:43.935834 2022060501 001.mia.h.root-servers.org
05:36:26.088141 2022060600 001.mia.h.root-servers.org
17:13:07.743553 2022060601 001.mia.h.root-servers.org
21:00:13.718963 2022060602 001.mia.h.root-servers.org
05:39:37.791392 2022060700 001.mia.h.root-servers.org
17:17:42.817130 2022060701 001.mia.h.root-servers.org
05:19:34.999291 2022060800 001.mia.h.root-servers.org
17:41:33.118171 2022060801 001.mia.h.root-servers.org
21:31:36.183788 2022060802 001.mia.h.root-servers.org
05:18:16.359949 2022060900 001.mia.h.root-servers.org
17:53:37.838846 2022060901 001.mia.h.root-servers.org
21:59:39.222885 2022060902 001.mia.h.root-servers.org
05:09:20.373959 2022061000 001.mia.h.root-servers.org
20:07:54.734155 2022061001 001.mia.h.root-servers.org
05:11:27.816448 2022061100 001.mia.h.root-servers.org
20:05:05.488371 2022061101 001.mia.h.root-servers.org
20:38:19.494057 2022061102 001.mia.h.root-servers.org
05:16:27.614895 2022061200 001.mia.h.root-servers.org
19:02:14.116572 2022061201 001.mia.h.root-servers.org
05:45:23.575750 2022061300 001.mia.h.root-servers.org
17:11:41.821010 2022061301 001.mia.h.root-servers.org
20:21:43.637274 2022061302 001.mia.h.root-servers.org
05:36:17.580703 2022061400 001.mia.h.root-servers.org
