05:21:55.082945 TIMED OUT
05:12:53.878486 2022041500 jfk1a.c.root-servers.org
19:02:53.068073 2022041501 jfk1a.c.root-servers.org
05:39:34.368839 2022041600 jfk1a.c.root-servers.org
17:24:41.071346 2022041601 jfk1b.c.root-servers.org
06:39:13.527536 2022041700 jfk1a.c.root-servers.org
17:52:34.496251 2022041701 jfk1b.c.root-servers.org
05:19:08.253896 2022041800 jfk1b.c.root-servers.org
17:36:53.037501 2022041801 jfk1b.c.root-servers.org
05:31:20.797992 2022041900 jfk1a.c.root-servers.org
17:33:26.073869 2022041901 jfk1b.c.root-servers.org
05:10:28.409896 2022042000 jfk1a.c.root-servers.org
17:33:22.071425 2022042001 jfk1b.c.root-servers.org
18:08:16.766193 2022042002 jfk1b.c.root-servers.org
05:46:32.895969 2022042100 jfk1a.c.root-servers.org
16:08:16.898728 2022042101 jfk1a.c.root-servers.org
21:55:26.782762 2022042102 jfk1a.c.root-servers.org
05:09:25.015816 2022042200 jfk1a.c.root-servers.org
19:00:04.769634 2022042201 jfk1a.c.root-servers.org
20:54:55.437558 2022042202 jfk1a.c.root-servers.org
06:01:27.296416 2022042300 jfk1b.c.root-servers.org
17:10:53.542420 2022042301 jfk1b.c.root-servers.org
05:26:02.341534 2022042400 jfk1a.c.root-servers.org
17:20:40.592523 2022042401 jfk1b.c.root-servers.org
05:17:43.964474 2022042500 jfk1b.c.root-servers.org
17:08:53.561923 2022042501 jfk1b.c.root-servers.org
22:08:18.401604 2022042502 jfk1a.c.root-servers.org
05:40:35.680024 2022042600 jfk1b.c.root-servers.org
17:50:03.116518 2022042601 jfk1a.c.root-servers.org
06:12:20.973625 2022042700 jfk1a.c.root-servers.org
17:17:00.479646 2022042701 jfk1a.c.root-servers.org
05:11:53.394549 2022042800 jfk1a.c.root-servers.org
17:10:46.160649 2022042801 jfk1a.c.root-servers.org
05:19:59.312348 2022042900 jfk1a.c.root-servers.org
17:14:41.705248 2022042901 jfk1a.c.root-servers.org
05:21:18.150216 2022043000 jfk1b.c.root-servers.org
18:05:09.751939 2022043001 jfk1b.c.root-servers.org
05:18:24.414460 2022050100 jfk1b.c.root-servers.org
17:28:35.513637 2022050101 jfk1a.c.root-servers.org
05:40:28.156131 2022050200 jfk1b.c.root-servers.org
18:05:14.965144 2022050201 jfk1a.c.root-servers.org
18:34:48.237150 2022050202 jfk1a.c.root-servers.org
20:58:28.871442 2022050203 jfk1a.c.root-servers.org
05:09:18.102435 2022050300 jfk1b.c.root-servers.org
15:11:48.781520 2022050301 jfk1a.c.root-servers.org
17:30:58.593383 2022050302 jfk1b.c.root-servers.org
20:42:31.530397 2022050303 jfk1b.c.root-servers.org
05:32:46.456986 2022050400 jfk1b.c.root-servers.org
18:41:50.141560 2022050401 jfk1b.c.root-servers.org
05:08:39.493472 2022050500 jfk1a.c.root-servers.org
17:22:32.230997 2022050501 jfk1b.c.root-servers.org
20:58:58.612731 2022050502 jfk1b.c.root-servers.org
05:10:55.875745 2022050600 jfk1b.c.root-servers.org
17:11:05.790195 2022050601 jfk1a.c.root-servers.org
20:58:54.601098 2022050602 jfk1b.c.root-servers.org
05:10:28.608150 2022050700 jfk1a.c.root-servers.org
18:03:47.954264 2022050701 jfk1a.c.root-servers.org
05:13:55.615043 2022050800 jfk1a.c.root-servers.org
20:10:47.967186 2022050801 jfk1a.c.root-servers.org
05:33:26.312903 2022050900 jfk1a.c.root-servers.org
18:40:57.059269 2022050901 jfk1a.c.root-servers.org
21:17:15.763956 2022050902 jfk1b.c.root-servers.org
05:16:28.158931 2022051000 jfk1b.c.root-servers.org
17:25:54.873791 2022051001 jfk1a.c.root-servers.org
21:07:46.464418 2022051002 jfk1a.c.root-servers.org
05:11:47.456944 2022051100 jfk1b.c.root-servers.org
17:46:52.358947 2022051101 jfk1a.c.root-servers.org
05:09:13.654941 2022051200 jfk1a.c.root-servers.org
15:53:55.737219 2022051201 jfk1b.c.root-servers.org
22:31:41.169382 2022051202 jfk1b.c.root-servers.org
05:17:22.404157 2022051300 jfk1b.c.root-servers.org
20:02:11.496018 2022051301 jfk1a.c.root-servers.org
20:52:39.128453 2022051302 jfk1b.c.root-servers.org
05:14:32.606891 2022051400 jfk1b.c.root-servers.org
18:06:36.539887 2022051401 jfk1b.c.root-servers.org
05:06:47.834736 2022051500 jfk1b.c.root-servers.org
18:16:13.710617 2022051501 jfk1a.c.root-servers.org
05:56:25.352073 2022051600 jfk1b.c.root-servers.org
18:19:17.184909 2022051601 jfk1a.c.root-servers.org
06:15:27.864731 2022051700 jfk1b.c.root-servers.org
19:01:54.978612 2022051701 jfk1b.c.root-servers.org
21:37:45.605935 2022051702 jfk1b.c.root-servers.org
05:20:25.501570 2022051800 jfk1b.c.root-servers.org
18:20:49.459963 2022051801 jfk1b.c.root-servers.org
05:27:39.590195 2022051900 jfk1a.c.root-servers.org
17:21:00.149826 2022051901 jfk1a.c.root-servers.org
21:08:11.716715 2022051902 jfk1b.c.root-servers.org
05:17:03.783687 2022052000 jfk1a.c.root-servers.org
18:06:40.828834 2022052001 jfk1b.c.root-servers.org
21:16:44.242003 2022052002 jfk1b.c.root-servers.org
05:38:46.146389 2022052100 jfk1a.c.root-servers.org
18:09:00.652657 2022052101 jfk1b.c.root-servers.org
05:22:42.502156 2022052200 jfk1a.c.root-servers.org
18:02:46.670219 2022052201 jfk1a.c.root-servers.org
05:34:07.762264 2022052300 jfk1a.c.root-servers.org
17:43:27.530952 2022052301 jfk1b.c.root-servers.org
05:32:18.055033 2022052400 jfk1b.c.root-servers.org
17:22:46.698734 2022052401 jfk1a.c.root-servers.org
05:22:59.788273 2022052500 jfk1a.c.root-servers.org
18:06:13.216811 2022052501 jfk1a.c.root-servers.org
21:13:01.488921 2022052502 jfk1b.c.root-servers.org
05:15:31.469562 2022052600 jfk1b.c.root-servers.org
17:11:03.395903 2022052601 jfk1b.c.root-servers.org
