02:19:53.173612 TIMED OUT
05:12:41.620351 2022041500 n5.us-was.root
19:02:53.067544 2022041501 a5.us-was.root
05:39:21.912183 2022041600 n5.us-was.root
17:24:28.324744 2022041601 n5.us-was.root
06:39:13.526938 2022041700 n5.us-was.root
17:52:47.180610 2022041701 a5.us-was.root
05:19:08.411370 2022041800 n5.us-was.root
17:36:40.336431 2022041801 n5.us-was.root
17:36:53.036958 2022041800 a5.us-was.root
17:37:05.745653 2022041801 n5.us-was.root
05:31:20.776133 2022041900 n5.us-was.root
17:33:26.081043 2022041901 n5.us-was.root
05:10:15.573394 2022042000 n5.us-was.root
17:33:09.276180 2022042001 n5.us-was.root
17:33:22.166388 2022042000 a5.us-was.root
17:33:34.900347 2022042001 n5.us-was.root
18:08:16.745280 2022042002 n5.us-was.root
05:46:45.826063 2022042100 a8.us-dal.root
16:08:04.246286 2022042101 n5.us-was.root
21:55:14.076761 2022042102 n5.us-was.root
05:09:37.809344 2022042200 a8.us-dal.root
19:00:04.932116 2022042201 a8.us-dal.root
20:55:08.100651 2022042202 a5.us-was.root
06:01:40.168886 2022042300 n5.us-was.root
17:10:53.495025 2022042301 n5.us-was.root
05:26:15.126808 2022042400 n5.us-was.root
17:20:40.608418 2022042401 n5.us-was.root
05:17:56.603734 2022042500 a5.us-was.root
17:08:53.409474 2022042501 n5.us-was.root
22:08:05.718432 2022042502 n5.us-was.root
22:08:18.419036 2022042501 a5.us-was.root
22:08:31.164813 2022042502 n5.us-was.root
05:40:35.653797 2022042600 a5.us-was.root
17:50:16.412425 2022042601 n5.us-was.root
06:12:21.038912 2022042700 n5.us-was.root
17:17:00.722500 2022042701 n5.us-was.root
05:12:06.065098 2022042800 a5.us-was.root
17:10:46.146634 2022042801 a8.us-dal.root
05:19:46.437385 2022042900 n5.us-was.root
17:14:41.897685 2022042901 a5.us-was.root
05:21:18.038806 2022043000 n5.us-was.root
18:04:56.669342 2022043001 n5.us-was.root
18:05:09.658810 2022043000 a5.us-was.root
18:05:22.493759 2022043001 n5.us-was.root
05:18:24.443608 2022050100 a5.us-was.root
17:28:23.091822 2022050101 n5.us-was.root
05:40:15.467178 2022050200 n5.us-was.root
05:40:28.451424 2022050101 a5.us-was.root
05:40:41.045283 2022050200 a5.us-was.root
18:05:14.945487 2022050201 n5.us-was.root
18:35:00.920852 2022050202 n5.us-was.root
20:58:16.195216 2022050203 n5.us-was.root
05:09:18.083143 2022050300 n5.us-was.root
15:11:48.797945 2022050301 n5.us-was.root
17:31:11.272488 2022050302 a5.us-was.root
20:42:31.557609 2022050303 a5.us-was.root
05:32:59.335349 2022050400 a5.us-was.root
18:42:02.755882 2022050401 n5.us-was.root
05:08:26.483959 2022050500 n5.us-was.root
05:08:39.574336 2022050401 a5.us-was.root
05:08:52.477110 2022050500 a5.us-was.root
17:22:19.359360 2022050501 n5.us-was.root
17:22:32.149761 2022050500 a5.us-was.root
17:22:44.741748 2022050501 a5.us-was.root
20:58:45.871660 2022050502 n5.us-was.root
05:10:55.878465 2022050600 n5.us-was.root
17:11:05.730399 2022050601 n5.us-was.root
20:58:42.004453 2022050602 n5.us-was.root
05:10:16.107933 2022050700 n5.us-was.root
05:10:28.612610 2022050602 a5.us-was.root
05:10:41.487585 2022050700 a5.us-was.root
18:03:35.148520 2022050701 n5.us-was.root
05:13:55.579448 2022050800 a5.us-was.root
20:11:00.904263 2022050801 n5.us-was.root
05:33:13.253788 2022050900 n5.us-was.root
18:41:09.801511 2022050901 a5.us-was.root
21:17:02.917130 2022050902 n5.us-was.root
05:16:41.041560 2022051000 n5.us-was.root
17:26:07.583549 2022051001 n5.us-was.root
21:07:46.421742 2022051002 n5.us-was.root
05:11:47.439939 2022051100 n5.us-was.root
17:46:52.355047 2022051101 n5.us-was.root
05:09:00.422528 2022051200 n5.us-was.root
05:09:13.417870 2022051101 a5.us-was.root
05:09:26.483029 2022051200 a5.us-was.root
15:54:08.574411 2022051201 a5.us-was.root
22:31:53.899673 2022051202 n5.us-was.root
05:17:35.121448 2022051300 n5.us-was.root
20:02:24.401371 2022051301 a5.us-was.root
20:52:39.287287 2022051302 a5.us-was.root
05:14:20.018287 2022051400 n5.us-was.root
18:06:49.307590 2022051401 n5.us-was.root
