18:06:33.877638 TIMED OUT
05:12:47.320687 2022041500 001.apg.h.root-servers.org
19:02:48.853901 2022041501 001.apg.h.root-servers.org
05:39:38.296664 2022041600 001.apg.h.root-servers.org
17:24:37.737538 2022041601 002.apg.h.root-servers.org
06:39:14.631950 2022041700 003.apg.h.root-servers.org
17:52:28.777211 2022041701 003.apg.h.root-servers.org
05:19:05.301012 2022041800 003.apg.h.root-servers.org
17:37:02.746206 2022041801 002.apg.h.root-servers.org
05:31:22.305758 2022041900 003.apg.h.root-servers.org
17:33:26.021710 2022041901 003.apg.h.root-servers.org
05:10:37.477815 2022042000 001.apg.h.root-servers.org
17:33:27.722079 2022042001 001.apg.h.root-servers.org
18:08:23.598684 2022042002 002.apg.h.root-servers.org
05:46:34.621235 2022042100 002.apg.h.root-servers.org
16:08:15.034851 2022042101 001.apg.h.root-servers.org
21:55:26.191345 2022042102 002.apg.h.root-servers.org
05:09:18.548482 2022042200 002.apg.h.root-servers.org
19:00:04.818906 2022042201 003.apg.h.root-servers.org
20:55:00.476527 2022042202 002.apg.h.root-servers.org
06:01:38.515415 2022042300 002.apg.h.root-servers.org
17:11:00.181320 2022042301 001.apg.h.root-servers.org
05:26:27.597515 2022042400 002.apg.h.root-servers.org
17:20:58.692960 2022042401 003.apg.h.root-servers.org
05:17:59.732714 2022042500 002.apg.h.root-servers.org
17:09:06.308746 2022042501 003.apg.h.root-servers.org
22:08:07.950426 2022042502 003.apg.h.root-servers.org
05:40:26.751583 2022042600 002.apg.h.root-servers.org
17:50:13.011862 2022042601 002.apg.h.root-servers.org
06:12:21.657264 2022042700 002.apg.h.root-servers.org
17:16:58.527713 2022042701 003.apg.h.root-servers.org
05:11:52.590533 2022042800 003.apg.h.root-servers.org
17:10:41.971100 2022042801 003.apg.h.root-servers.org
05:19:54.366549 2022042900 001.apg.h.root-servers.org
17:14:51.408457 2022042901 002.apg.h.root-servers.org
05:21:27.599293 2022043000 002.apg.h.root-servers.org
18:05:02.088960 2022043001 002.apg.h.root-servers.org
05:18:18.616510 2022050100 003.apg.h.root-servers.org
17:28:47.076421 2022050101 001.apg.h.root-servers.org
05:40:29.587209 2022050200 001.apg.h.root-servers.org
18:05:31.722189 2022050201 001.apg.h.root-servers.org
18:35:01.780301 2022050202 003.apg.h.root-servers.org
20:58:30.992706 2022050203 002.apg.h.root-servers.org
05:09:19.043395 2022050300 003.apg.h.root-servers.org
15:12:09.919026 2022050301 003.apg.h.root-servers.org
15:12:33.312341 2022050300 001.apg.h.root-servers.org
15:12:44.919993 2022050301 003.apg.h.root-servers.org
15:13:08.105745 2022050300 001.apg.h.root-servers.org
15:13:43.066719 2022050301 003.apg.h.root-servers.org
15:14:29.567784 2022050300 001.apg.h.root-servers.org
15:14:41.363716 2022050301 003.apg.h.root-servers.org
15:16:15.157607 2022050300 001.apg.h.root-servers.org
15:16:26.858251 2022050301 003.apg.h.root-servers.org
15:16:50.208623 2022050300 001.apg.h.root-servers.org
15:17:13.660678 2022050301 002.apg.h.root-servers.org
15:17:36.862163 2022050300 001.apg.h.root-servers.org
15:18:00.564476 2022050301 003.apg.h.root-servers.org
