00:50:58.772641 TIMED OUT
05:24:36.704812 2022041500 p01.yyz.eroot
19:09:50.196599 2022041501 p01.yyz.eroot
05:45:23.084520 2022041600 p03.yyz.eroot
17:29:11.292087 2022041601 p01.yyz.eroot
06:39:49.584373 2022041700 p03.yyz.eroot
18:03:18.270072 2022041701 p02.yyz.eroot
05:30:35.987373 2022041800 p04.yyz.eroot
17:37:25.483279 2022041801 p01.yyz.eroot
05:43:50.944153 2022041900 p01.yyz.eroot
17:40:20.843122 2022041901 p01.yyz.eroot
05:12:34.954885 2022042000 p03.yyz.eroot
17:42:13.069776 2022042001 p01.yyz.eroot
18:08:58.632689 2022042002 p01.yyz.eroot
05:54:04.938671 2022042100 p02.yyz.eroot
16:11:59.384289 2022042101 p03.yyz.eroot
22:02:56.668431 2022042102 p03.yyz.eroot
05:10:52.953491 2022042200 p02.yyz.eroot
19:00:52.614731 2022042201 p02.yyz.eroot
20:55:47.047083 2022042202 p02.yyz.eroot
06:09:09.272509 2022042300 p01.yyz.eroot
17:11:11.405953 2022042301 p01.yyz.eroot
05:32:35.654880 2022042400 p01.yyz.eroot
17:26:06.467897 2022042401 p03.yyz.eroot
05:21:43.356827 2022042500 p02.yyz.eroot
17:19:46.987790 2022042501 p04.yyz.eroot
22:24:20.938665 2022042502 p01.yyz.eroot
05:42:47.655686 2022042600 p04.yyz.eroot
17:58:10.887271 2022042601 p04.yyz.eroot
06:20:27.956117 2022042700 p03.yyz.eroot
17:22:26.428416 2022042701 p03.yyz.eroot
05:13:26.244905 2022042800 p04.yyz.eroot
17:11:39.415548 2022042801 p02.yyz.eroot
05:21:17.279405 2022042900 p02.yyz.eroot
17:15:16.909505 2022042901 p03.yyz.eroot
05:23:11.171378 2022043000 p04.yyz.eroot
18:19:19.640670 2022043001 p01.yyz.eroot
05:25:20.914273 2022050100 p02.yyz.eroot
17:35:11.993426 2022050101 p03.yyz.eroot
05:46:28.649032 2022050200 p02.yyz.eroot
18:06:17.333404 2022050201 p04.yyz.eroot
18:59:04.581806 2022050202 p01.yyz.eroot
21:07:07.973100 2022050203 p04.yyz.eroot
05:13:01.408836 2022050300 p04.yyz.eroot
