17:01:02.154535 TIMED OUT
05:12:57.647013 2022041500 ns2.us-mia.k.ripe.net
19:02:59.261771 2022041501 ns3.us-mia.k.ripe.net
05:39:36.948541 2022041600 ns2.us-mia.k.ripe.net
17:24:48.342614 2022041601 ns3.us-mia.k.ripe.net
06:39:25.613891 2022041700 ns3.us-mia.k.ripe.net
17:52:51.131260 2022041701 ns1.us-mia.k.ripe.net
05:19:15.893925 2022041800 ns3.us-mia.k.ripe.net
17:37:01.464057 2022041801 ns1.us-mia.k.ripe.net
05:31:32.783723 2022041900 ns2.us-mia.k.ripe.net
17:33:24.826200 2022041901 ns1.us-mia.k.ripe.net
05:10:36.148206 2022042000 ns2.us-mia.k.ripe.net
17:33:26.132191 2022042001 ns1.us-mia.k.ripe.net
18:08:34.213831 2022042002 ns3.us-mia.k.ripe.net
05:46:45.521647 2022042100 ns3.us-mia.k.ripe.net
16:08:25.489484 2022042101 ns1.us-mia.k.ripe.net
21:55:36.909794 2022042102 ns2.us-mia.k.ripe.net
05:09:28.974376 2022042200 ns1.us-mia.k.ripe.net
19:00:16.768308 2022042201 ns3.us-mia.k.ripe.net
20:55:11.318212 2022042202 ns3.us-mia.k.ripe.net
06:01:37.208316 2022042300 ns2.us-mia.k.ripe.net
17:11:10.858019 2022042301 ns2.us-mia.k.ripe.net
05:26:26.252871 2022042400 ns1.us-mia.k.ripe.net
17:20:57.368263 2022042401 ns3.us-mia.k.ripe.net
05:17:58.179892 2022042500 ns3.us-mia.k.ripe.net
17:08:53.345069 2022042501 ns2.us-mia.k.ripe.net
22:08:30.153124 2022042502 ns2.us-mia.k.ripe.net
05:40:37.326867 2022042600 ns1.us-mia.k.ripe.net
17:50:11.657786 2022042601 ns1.us-mia.k.ripe.net
06:12:32.216680 2022042700 ns2.us-mia.k.ripe.net
17:17:09.019555 2022042701 ns1.us-mia.k.ripe.net
05:12:02.965932 2022042800 ns1.us-mia.k.ripe.net
17:10:52.570673 2022042801 ns1.us-mia.k.ripe.net
05:20:04.835160 2022042900 ns1.us-mia.k.ripe.net
17:14:50.322930 2022042901 ns2.us-mia.k.ripe.net
05:21:26.446287 2022043000 ns2.us-mia.k.ripe.net
18:05:12.781178 2022043001 ns3.us-mia.k.ripe.net
05:18:29.298390 2022050100 ns3.us-mia.k.ripe.net
17:28:46.025519 2022050101 ns2.us-mia.k.ripe.net
05:40:40.178950 2022050200 ns3.us-mia.k.ripe.net
18:05:30.656685 2022050201 ns3.us-mia.k.ripe.net
18:35:00.617428 2022050202 ns3.us-mia.k.ripe.net
20:58:41.608486 2022050203 ns3.us-mia.k.ripe.net
05:09:29.606767 2022050300 ns3.us-mia.k.ripe.net
15:11:57.314437 2022050301 ns2.us-mia.k.ripe.net
17:31:10.742890 2022050302 ns2.us-mia.k.ripe.net
20:42:51.448489 2022050303 ns3.us-mia.k.ripe.net
05:33:07.692626 2022050400 ns3.us-mia.k.ripe.net
18:42:01.667578 2022050401 ns3.us-mia.k.ripe.net
05:08:48.914429 2022050500 ns1.us-mia.k.ripe.net
17:22:42.888970 2022050501 ns2.us-mia.k.ripe.net
20:59:04.685612 2022050502 ns3.us-mia.k.ripe.net
05:11:05.338979 2022050600 ns1.us-mia.k.ripe.net
17:11:21.776340 2022050601 ns2.us-mia.k.ripe.net
20:59:05.202636 2022050602 ns1.us-mia.k.ripe.net
05:10:41.695118 2022050700 ns3.us-mia.k.ripe.net
18:03:46.166861 2022050701 ns2.us-mia.k.ripe.net
05:13:57.124843 2022050800 ns3.us-mia.k.ripe.net
20:10:58.992561 2022050801 ns2.us-mia.k.ripe.net
05:33:36.517954 2022050900 ns1.us-mia.k.ripe.net
18:41:08.453664 2022050901 ns3.us-mia.k.ripe.net
21:17:31.974092 2022050902 ns2.us-mia.k.ripe.net
05:16:38.503448 2022051000 ns3.us-mia.k.ripe.net
17:26:08.209781 2022051001 ns3.us-mia.k.ripe.net
21:08:04.033806 2022051002 ns1.us-mia.k.ripe.net
05:12:03.646360 2022051100 ns2.us-mia.k.ripe.net
17:47:05.032873 2022051101 ns2.us-mia.k.ripe.net
05:09:22.646486 2022051200 ns3.us-mia.k.ripe.net
15:54:08.465886 2022051201 ns3.us-mia.k.ripe.net
22:31:54.642451 2022051202 ns1.us-mia.k.ripe.net
05:17:39.153323 2022051300 ns1.us-mia.k.ripe.net
20:02:18.545087 2022051301 ns1.us-mia.k.ripe.net
20:52:43.622250 2022051302 ns1.us-mia.k.ripe.net
05:14:41.044378 2022051400 ns1.us-mia.k.ripe.net
18:06:54.625143 2022051401 ns1.us-mia.k.ripe.net
05:06:58.561447 2022051500 ns2.us-mia.k.ripe.net
18:16:27.718151 2022051501 ns2.us-mia.k.ripe.net
05:56:30.957139 2022051600 ns3.us-mia.k.ripe.net
18:19:23.334359 2022051601 ns3.us-mia.k.ripe.net
06:15:35.767556 2022051700 ns3.us-mia.k.ripe.net
19:02:02.106327 2022051701 ns1.us-mia.k.ripe.net
21:37:41.410753 2022051702 ns1.us-mia.k.ripe.net
05:20:32.932468 2022051800 ns1.us-mia.k.ripe.net
18:20:59.464810 2022051801 ns1.us-mia.k.ripe.net
05:27:49.309608 2022051900 ns3.us-mia.k.ripe.net
17:21:06.036797 2022051901 ns2.us-mia.k.ripe.net
21:08:33.394822 2022051902 ns2.us-mia.k.ripe.net
05:17:10.999971 2022052000 ns3.us-mia.k.ripe.net
18:06:56.313191 2022052001 ns3.us-mia.k.ripe.net
21:16:51.146731 2022052002 ns2.us-mia.k.ripe.net
05:38:56.871934 2022052100 ns3.us-mia.k.ripe.net
18:09:00.462924 2022052101 ns2.us-mia.k.ripe.net
05:22:52.433514 2022052200 ns1.us-mia.k.ripe.net
18:02:45.965704 2022052201 ns1.us-mia.k.ripe.net
05:34:10.814703 2022052300 ns1.us-mia.k.ripe.net
17:43:45.153938 2022052301 ns2.us-mia.k.ripe.net
05:32:35.756651 2022052400 ns3.us-mia.k.ripe.net
17:22:49.840796 2022052401 ns1.us-mia.k.ripe.net
05:23:02.580268 2022052500 ns2.us-mia.k.ripe.net
18:06:25.785297 2022052501 ns1.us-mia.k.ripe.net
21:13:17.536657 2022052502 ns2.us-mia.k.ripe.net
05:15:41.934738 2022052600 ns1.us-mia.k.ripe.net
17:11:20.684345 2022052601 ns2.us-mia.k.ripe.net
21:10:07.254212 2022052602 ns2.us-mia.k.ripe.net
05:11:47.278845 2022052700 ns3.us-mia.k.ripe.net
20:24:07.630666 2022052701 ns3.us-mia.k.ripe.net
21:18:01.926733 2022052702 ns3.us-mia.k.ripe.net
05:10:51.592446 2022052800 ns3.us-mia.k.ripe.net
21:12:42.680016 2022052801 ns3.us-mia.k.ripe.net
05:12:26.561441 2022052900 ns3.us-mia.k.ripe.net
18:15:43.683761 2022052901 ns1.us-mia.k.ripe.net
05:11:16.128814 2022053000 ns2.us-mia.k.ripe.net
17:42:55.679279 2022053001 ns1.us-mia.k.ripe.net
06:12:45.241813 2022053100 ns3.us-mia.k.ripe.net
17:19:04.170813 2022053101 ns2.us-mia.k.ripe.net
05:18:03.962243 2022060100 ns1.us-mia.k.ripe.net
14:25:46.156790 2022060101 ns1.us-mia.k.ripe.net
17:13:29.001550 2022060102 ns3.us-mia.k.ripe.net
21:58:15.215140 2022060103 ns3.us-mia.k.ripe.net
05:12:04.675802 2022060200 ns2.us-mia.k.ripe.net
17:22:13.948953 2022060201 ns3.us-mia.k.ripe.net
00:33:52.454143 2022060300 ns1.us-mia.k.ripe.net
05:13:39.642802 2022060301 ns1.us-mia.k.ripe.net
17:32:09.220047 2022060302 ns3.us-mia.k.ripe.net
19:50:42.567676 2022060303 ns2.us-mia.k.ripe.net
05:21:07.799853 2022060400 ns1.us-mia.k.ripe.net
17:23:53.112010 2022060401 ns2.us-mia.k.ripe.net
17:30:22.264031 2022060402 ns3.us-mia.k.ripe.net
05:14:02.815540 2022060500 ns1.us-mia.k.ripe.net
17:20:52.040935 2022060501 ns1.us-mia.k.ripe.net
05:36:38.766813 2022060600 ns1.us-mia.k.ripe.net
17:13:28.524829 2022060601 ns3.us-mia.k.ripe.net
21:00:19.352770 2022060602 ns3.us-mia.k.ripe.net
05:39:53.615828 2022060700 ns3.us-mia.k.ripe.net
17:17:49.430566 2022060701 ns3.us-mia.k.ripe.net
05:19:49.930420 2022060800 ns2.us-mia.k.ripe.net
17:41:46.676580 2022060801 ns2.us-mia.k.ripe.net
21:31:49.266306 2022060802 ns3.us-mia.k.ripe.net
05:18:22.917473 2022060900 ns3.us-mia.k.ripe.net
17:53:44.445891 2022060901 ns1.us-mia.k.ripe.net
21:59:42.889848 2022060902 ns1.us-mia.k.ripe.net
05:09:33.642908 2022061000 ns3.us-mia.k.ripe.net
20:08:04.784875 2022061001 ns2.us-mia.k.ripe.net
05:11:43.520843 2022061100 ns2.us-mia.k.ripe.net
20:05:14.317130 2022061101 ns2.us-mia.k.ripe.net
20:38:22.640817 2022061102 ns2.us-mia.k.ripe.net
05:16:44.422763 2022061200 ns1.us-mia.k.ripe.net
19:02:30.865366 2022061201 ns3.us-mia.k.ripe.net
05:45:36.618621 2022061300 ns3.us-mia.k.ripe.net
17:11:53.714963 2022061301 ns3.us-mia.k.ripe.net
20:21:55.323402 2022061302 ns3.us-mia.k.ripe.net
05:36:32.195283 2022061400 ns2.us-mia.k.ripe.net
19:53:23.657082 2022061401 ns2.us-mia.k.ripe.net
05:11:18.142616 2022061500 ns1.us-mia.k.ripe.net
14:33:21.802630 2022061501 ns1.us-mia.k.ripe.net
19:13:56.399693 2022061502 ns2.us-mia.k.ripe.net
20:09:29.099893 2022061503 ns1.us-mia.k.ripe.net
