01:38:50.008367 TIMED OUT
05:12:47.247552 2022041500 b1-iad
19:03:09.784275 2022041501 b1-iad
05:39:25.398751 2022041600 b3-iad
17:24:48.473338 2022041601 b1-iad
06:39:13.601623 2022041700 b2-iad
06:39:25.463022 2022041601 b1-iad
06:39:37.633697 2022041700 b3-iad
17:52:39.972695 2022041701 b3-iad
05:19:04.268445 2022041800 b1-iad
05:19:16.153394 2022041701 b3-iad
05:19:28.049769 2022041800 b3-iad
17:36:49.886137 2022041801 b1-iad
05:31:21.520945 2022041900 b4-iad
17:33:25.157881 2022041901 b3-iad
05:10:24.885494 2022042000 b3-iad
17:33:14.626149 2022042001 b3-iad
18:08:22.652491 2022042002 b2-iad
05:46:45.890212 2022042100 b3-iad
16:08:26.012034 2022042101 b2-iad
21:55:37.145815 2022042102 b2-iad
05:09:17.667561 2022042200 b2-iad
19:00:03.714755 2022042201 b1-iad
20:54:59.455917 2022042202 b1-iad
06:01:37.767077 2022042300 b1-iad
17:10:59.286943 2022042301 b1-iad
05:26:15.000446 2022042400 b4-iad
17:20:45.658388 2022042401 b1-iad
05:17:58.727084 2022042500 b2-iad
17:08:53.617133 2022042501 b1-iad
22:08:30.621094 2022042502 b3-iad
05:40:49.545625 2022042600 b4-iad
17:49:59.973729 2022042601 b4-iad
06:12:32.491452 2022042700 b4-iad
17:17:09.309027 2022042701 b2-iad
05:11:51.684994 2022042800 b1-iad
05:12:03.396155 2022042701 b2-iad
05:12:26.945655 2022042800 b3-iad
17:10:40.969972 2022042801 b2-iad
05:20:05.188639 2022042900 b3-iad
17:14:39.075225 2022042901 b1-iad
05:21:15.317126 2022043000 b3-iad
18:05:12.971827 2022043001 b4-iad
05:18:41.041866 2022050100 b3-iad
17:28:34.663466 2022050101 b2-iad
05:40:28.918255 2022050200 b3-iad
18:05:31.147180 2022050201 b2-iad
18:35:01.042701 2022050202 b3-iad
20:58:30.155296 2022050203 b2-iad
20:58:41.866306 2022050202 b4-iad
20:58:55.055602 2022050203 b3-iad
05:09:18.174337 2022050300 b2-iad
05:09:30.007026 2022050203 b1-iad
05:09:41.757210 2022050300 b4-iad
15:11:57.738761 2022050301 b3-iad
17:30:59.112401 2022050302 b3-iad
20:43:03.586122 2022050303 b3-iad
05:33:07.881355 2022050400 b1-iad
18:42:01.823909 2022050401 b2-iad
05:08:37.683760 2022050500 b2-iad
17:22:31.500213 2022050501 b3-iad
20:58:53.246741 2022050502 b2-iad
05:10:53.446535 2022050600 b3-iad
17:11:10.736641 2022050601 b2-iad
20:59:05.612660 2022050602 b1-iad
05:10:30.111765 2022050700 b4-iad
18:03:35.390844 2022050701 b4-iad
05:13:46.033880 2022050800 b1-iad
20:10:47.718348 2022050801 b1-iad
05:33:24.884405 2022050900 b1-iad
18:41:20.452704 2022050901 b4-iad
21:17:32.160404 2022050902 b4-iad
05:16:38.827349 2022051000 b1-iad
17:25:56.639782 2022051001 b1-iad
21:07:52.764944 2022051002 b1-iad
21:08:04.511157 2022051001 b4-iad
21:08:15.991450 2022051002 b1-iad
05:11:52.137841 2022051100 b3-iad
17:46:53.174309 2022051101 b2-iad
05:09:11.205686 2022051200 b3-iad
15:53:56.172548 2022051201 b4-iad
22:31:43.087806 2022051202 b3-iad
05:17:26.369162 2022051300 b1-iad
20:02:06.647162 2022051301 b1-iad
20:02:19.244965 2022051300 b4-iad
20:02:31.236563 2022051301 b1-iad
20:52:43.866961 2022051302 b2-iad
05:14:41.380236 2022051400 b1-iad
