00:42:54.054153 TIMED OUT
05:12:47.170175 2022041500 n1.us-nyc.root
19:02:38.272585 2022041501 n1.us-nyc.root
05:39:25.634595 2022041600 n1.us-nyc.root
17:24:37.581318 2022041601 a1.us-nyc.root
06:39:14.150671 2022041700 n1.us-nyc.root
17:52:40.262710 2022041701 n1.us-nyc.root
05:19:05.178467 2022041800 n1.us-nyc.root
17:36:38.513805 2022041801 n1.us-nyc.root
17:36:50.263017 2022041800 a1.us-nyc.root
17:37:02.402347 2022041801 n1.us-nyc.root
05:31:09.954768 2022041900 n1.us-nyc.root
05:31:21.830401 2022041801 a1.us-nyc.root
05:31:33.959545 2022041900 a1.us-nyc.root
17:33:37.455887 2022041901 n1.us-nyc.root
05:10:13.032665 2022042000 n1.us-nyc.root
17:33:39.353975 2022042001 n1.us-nyc.root
18:08:35.179463 2022042002 a1.us-nyc.root
05:46:34.610558 2022042100 n1.us-nyc.root
16:08:14.819890 2022042101 a1.us-nyc.root
21:55:14.214847 2022042102 n1.us-nyc.root
05:09:17.924534 2022042200 n1.us-nyc.root
18:59:52.225654 2022042201 n1.us-was.root
20:54:48.081338 2022042202 n1.us-was.root
20:55:00.466223 2022042201 a1.us-was.root
20:55:12.358263 2022042202 a1.us-was.root
06:01:26.436741 2022042300 n1.us-nyc.root
17:10:47.859778 2022042301 n1.us-nyc.root
05:26:03.603293 2022042400 n1.us-nyc.root
17:20:34.624255 2022042401 n1.us-nyc.root
17:20:46.522737 2022042400 a1.us-nyc.root
17:20:57.707317 2022042401 a1.us-nyc.root
05:17:35.788032 2022042500 n1.us-nyc.root
05:17:47.409322 2022042401 a1.us-nyc.root
05:17:59.419486 2022042500 n1.us-nyc.root
17:08:54.322671 2022042501 n1.us-nyc.root
22:08:07.809209 2022042502 n1.us-nyc.root
05:40:26.423680 2022042600 n1.us-nyc.root
17:50:00.764684 2022042601 n1.us-nyc.root
06:12:32.927283 2022042700 a1.us-nyc.root
17:17:09.719374 2022042701 n1.us-nyc.root
05:11:52.106333 2022042800 n1.us-nyc.root
17:10:41.650050 2022042801 n1.us-nyc.root
05:19:40.904168 2022042900 n1.us-nyc.root
17:14:39.505339 2022042901 n1.us-nyc.root
05:21:15.808032 2022043000 n1.us-nyc.root
18:05:25.233030 2022043001 n1.us-nyc.root
05:18:18.552223 2022050100 n1.us-nyc.root
17:28:34.955588 2022050101 a1.us-nyc.root
05:40:41.066744 2022050200 a1.us-nyc.root
18:05:18.460232 2022050201 a1.us-nyc.root
18:34:49.832278 2022050202 n1.us-nyc.root
20:58:19.162230 2022050203 n1.us-nyc.root
05:09:18.881834 2022050300 n1.us-nyc.root
15:11:46.586201 2022050301 n1.us-nyc.root
17:30:59.879477 2022050302 n1.us-nyc.root
20:42:41.000440 2022050303 a1.us-nyc.root
05:32:43.775492 2022050400 n1.us-nyc.root
18:42:02.360243 2022050401 n1.us-nyc.root
05:08:26.611377 2022050500 n1.us-nyc.root
17:22:20.172650 2022050501 n1.us-nyc.root
20:59:05.475524 2022050502 n1.us-nyc.root
05:10:43.070298 2022050600 n1.us-nyc.root
17:11:11.047747 2022050601 a1.us-nyc.root
20:58:42.406624 2022050602 n1.us-nyc.root
05:10:30.265673 2022050700 n1.us-nyc.root
18:03:35.805807 2022050701 n1.us-nyc.root
05:13:58.084179 2022050800 a1.us-nyc.root
20:10:59.582247 2022050801 n1.us-nyc.root
05:33:25.581811 2022050900 a1.us-nyc.root
18:41:09.308353 2022050901 a1.us-nyc.root
21:17:09.340043 2022050902 n1.us-nyc.root
05:16:16.318499 2022051000 n1.us-nyc.root
05:16:27.921777 2022050902 a1.us-nyc.root
05:16:39.475497 2022051000 a1.us-nyc.root
17:25:45.655012 2022051001 n1.us-nyc.root
21:07:41.426037 2022051002 n1.us-nyc.root
05:11:41.028448 2022051100 n1.us-nyc.root
17:46:42.006908 2022051101 n1.us-nyc.root
05:09:11.893914 2022051200 n1.us-nyc.root
15:53:45.151151 2022051201 n1.us-nyc.root
15:53:57.147270 2022051200 a1.us-nyc.root
15:54:09.111428 2022051201 a1.us-nyc.root
22:31:43.692899 2022051202 n1.us-nyc.root
05:17:14.914479 2022051300 n1.us-nyc.root
05:17:26.956821 2022051202 a1.us-nyc.root
05:17:40.135050 2022051300 a1.us-nyc.root
20:02:07.526872 2022051301 n1.us-nyc.root
20:52:20.656244 2022051302 n1.us-nyc.root
20:52:32.281920 2022051301 a1.us-nyc.root
20:52:44.386592 2022051302 a1.us-nyc.root
05:14:18.604613 2022051400 n1.us-nyc.root
05:14:30.117914 2022051302 a1.us-nyc.root
05:14:41.902914 2022051400 n1.us-nyc.root
18:06:31.676612 2022051401 n1.us-nyc.root
18:06:43.638402 2022051400 a1.us-nyc.root
18:06:55.473371 2022051401 a1.us-nyc.root
05:06:47.708375 2022051500 n1.us-nyc.root
18:16:04.793316 2022051501 n1.us-nyc.root
05:56:19.992950 2022051600 n1.us-nyc.root
18:19:12.699724 2022051601 n1.us-nyc.root
06:15:36.569898 2022051700 n1.us-nyc.root
19:02:03.197640 2022051701 a1.us-nyc.root
21:37:42.030440 2022051702 n1.us-nyc.root
05:20:34.151339 2022051800 n1.us-nyc.root
18:20:36.882910 2022051801 n1.us-nyc.root
05:27:38.692124 2022051900 n1.us-nyc.root
17:21:07.261173 2022051901 a1.us-nyc.root
21:08:22.242466 2022051902 a1.us-nyc.root
05:17:23.371797 2022052000 n1.us-nyc.root
18:06:33.692726 2022052001 n4.us-dal.root
18:06:45.495814 2022052000 a4.us-dal.root
18:06:57.288174 2022052001 a4.us-dal.root
21:16:52.013717 2022052002 n1.us-nyc.root
05:38:34.414788 2022052100 n1.us-nyc.root
18:08:49.816322 2022052101 n1.us-nyc.root
05:22:41.658205 2022052200 a1.us-nyc.root
18:02:35.204911 2022052201 n1.us-nyc.root
05:34:11.594627 2022052300 a1.us-nyc.root
17:43:34.292860 2022052301 n1.us-nyc.root
