05:13:17.967566 2022032500
15:25:40.965740 2022032501
17:14:55.270995 2022032502
05:12:45.728853 2022041500 001.den.h.root-servers.org
19:02:48.430032 2022041501 001.den.h.root-servers.org
05:39:33.205487 2022041600 001.den.h.root-servers.org
17:24:45.889905 2022041601 001.den.h.root-servers.org
06:39:13.523707 2022041700 001.den.h.root-servers.org
17:52:37.207936 2022041701 001.den.h.root-servers.org
05:19:11.720217 2022041800 001.den.h.root-servers.org
17:36:50.627398 2022041801 001.den.h.root-servers.org
05:31:22.718288 2022041900 001.den.h.root-servers.org
17:33:22.137719 2022041901 001.den.h.root-servers.org
05:10:33.674405 2022042000 001.den.h.root-servers.org
17:33:21.251716 2022042001 001.den.h.root-servers.org
18:08:25.031152 2022042002 001.den.h.root-servers.org
05:46:41.929240 2022042100 001.den.h.root-servers.org
16:08:13.226000 2022042101 001.den.h.root-servers.org
21:55:31.386207 2022042102 001.den.h.root-servers.org
05:09:16.005889 2022042200 001.den.h.root-servers.org
18:59:59.366268 2022042201 001.den.h.root-servers.org
20:54:53.900708 2022042202 001.den.h.root-servers.org
06:01:24.691615 2022042300 001.den.h.root-servers.org
17:11:00.502634 2022042301 001.den.h.root-servers.org
05:26:15.301468 2022042400 001.den.h.root-servers.org
