05:13:38.952443 2022032500
15:25:51.563108 2022032501
15:26:02.149526 2022032500
15:26:12.838084 2022032501
17:15:16.584321 2022032502
05:13:29.465726 2022041500 YYC.cf.f.root-servers.org
05:13:40.040250 2022041401 YYC.cf.f.root-servers.org
05:13:50.678160 2022041500 YYC.cf.f.root-servers.org
19:03:20.113374 2022041501 YYC.cf.f.root-servers.org
05:40:25.375113 2022041600 YYC.cf.f.root-servers.org
17:25:11.347958 2022041601 YYC.cf.f.root-servers.org
06:40:05.190578 2022041700 YYC.cf.f.root-servers.org
17:53:28.192182 2022041701 YYC.cf.f.root-servers.org
05:19:49.056786 2022041800 YYC.cf.f.root-servers.org
17:37:28.872299 2022041801 YYC.cf.f.root-servers.org
05:32:01.080193 2022041900 YYC.cf.f.root-servers.org
17:33:59.461435 2022041901 YYC.cf.f.root-servers.org
05:11:23.528380 2022042000 YYC.cf.f.root-servers.org
17:33:58.688967 2022042001 YYC.cf.f.root-servers.org
18:08:37.465064 2022042002 YYC.cf.f.root-servers.org
05:47:07.206767 2022042100 YYC.cf.f.root-servers.org
16:08:52.216205 2022042101 YYC.cf.f.root-servers.org
21:55:31.089200 2022042102 YYC.cf.f.root-servers.org
05:10:06.097789 2022042200 YYC.cf.f.root-servers.org
19:00:38.770074 2022042201 YYC.cf.f.root-servers.org
20:55:20.594373 2022042202 YYC.cf.f.root-servers.org
06:01:50.590765 2022042300 YYC.cf.f.root-servers.org
17:11:00.641825 2022042301 YYC.cf.f.root-servers.org
05:27:05.725824 2022042400 YYC.cf.f.root-servers.org
