05:13:18.176699 2022032500
15:25:41.332334 2022032501
17:14:55.560909 2022032502
05:12:56.555988 2022041500 sat2.groot
19:02:48.762802 2022041501 sat2.groot
05:39:32.963155 2022041600 sat3.groot
17:24:32.529182 2022041601 sat3.groot
06:39:13.920800 2022041700 sat1.groot
17:52:38.219692 2022041701 sat3.groot
05:19:12.221083 2022041800 sat1.groot
17:36:50.748776 2022041801 sat2.groot
05:31:22.880686 2022041900 sat3.groot
17:33:22.246199 2022041901 sat3.groot
05:10:33.430877 2022042000 sat1.groot
17:33:20.285804 2022042001 sat2.groot
18:08:25.256738 2022042002 sat1.groot
05:46:41.790182 2022042100 sat1.groot
16:08:13.921724 2022042101 sat1.groot
21:55:31.114189 2022042102 sat1.groot
05:09:15.772220 2022042200 sat2.groot
18:59:58.893135 2022042201 sat2.groot
20:54:54.078359 2022042202 sat1.groot
06:01:25.934910 2022042300 sat3.groot
17:11:00.084266 2022042301 sat3.groot
05:26:15.683118 2022042400 sat2.groot
